UNDID,Reversed a previous action
FLUSH,To clean with a flow of water
FIRST,Leading in position or time
CAPUT,Latin word for 'head'
TERRA,Latin word for 'earth'
SHEIK,An Arab leader or ruler
TRUER,More accurate or faithful
POLYP,A small sea anemone-like growth
MAYOR,The head of a city or town
RUMOR,A circulating story of uncertain truth
SOUTH,Opposite of north
CRYPT,An underground burial chamber
AROMA,A pleasant or distinctive smell
CATCH,To intercept and hold something thrown
ITCHY,Causing a desire to scratch
FLEET,A group of ships or vehicles
ABBOT,The head of a monastery
MARRY,To join in matrimony
STOLE,A woman's long scarf or shawl
LOSER,One who is defeated
FINAL,Coming at the end of a series
WAXEN,Having a smooth, pale, translucent surface
ENNUI,A feeling of listlessness and dissatisfaction
ADORE,To love and respect deeply
EARLY,Happening before the usual or expected time
QUACK,The sound a duck makes
RABBI,A Jewish scholar or teacher
THREW,Past tense of throw
CABLE,A thick, strong rope or wire
ESSAY,A short piece of writing on a subject
IDEAL,Satisfying one's conception of what is perfect
UNDER,Below or beneath
DECRY,To publicly denounce
AVIAN,Relating to birds
DEMON,An evil spirit or devil
OCTET,A group of eight musicians
MURKY,Dark and gloomy, especially due to thick mist
PARER,A tool for peeling fruit or vegetables
FRONT,The most forward part of something
BORNE,Carried or transported by
IRONY,The expression of meaning by using language that normally signifies the opposite
BUNNY,A young rabbit
FORGE,To make or shape a metal object by heating and hammering
HYMEN,A membrane which partially closes the opening of the vagina
ALPHA,The first letter of the Greek alphabet
LOYAL,Giving or showing firm and constant support
WAGER,A bet or gamble
FIBER,A thread or filament from which a vegetable tissue, mineral substance, or textile is formed
GREEN,The color of growing grass
ROUSE,To awaken or stir up
CLUCK,The sound a hen makes
ABORT,To bring to a premature end
NASTY,Very bad or unpleasant
RIDGE,A long, narrow hilltop or mountain range
SERIF,A slight projection finishing off a stroke of a letter in certain typefaces
BOSOM,A woman's chest
HONOR,High respect or great esteem
BLOOM,A flower, especially one cultivated for its beauty
DRAKE,A male duck
DROIT,A right or due, a legal right
MELEE,A confused fight or scuffle
GUPPY,A small tropical freshwater fish
STILT,A tall post used to support a structure
GLASS,A hard, brittle, transparent substance
OAKEN,Made of oak wood
AMUSE,To cause someone to find something funny
TRUSS,A framework of beams or bars supporting a roof or bridge
SQUAD,A small group of people having a particular task
DOWDY,Unfashionable and without style in appearance
FLASK,A narrow-necked bottle
GLAZE,To fit panes of glass into
RERUN,To show or stage again
EXERT,To apply or bring to bear
COUNT,To determine the total number of
SISSY,A person regarded as effeminate or cowardly
BROTH,A savory liquid made by simmering meat or vegetables
BLUER,More blue in color
AMBLE,To walk or move at a slow, relaxed pace
GRAVY,A sauce made from the juices of cooked meat
ESTER,A chemical compound derived from an acid
GYPSY,A member of a traveling people
TASTY,Having a pleasant, distinct flavor
SLOPE,A surface of which one end or side is at a higher level than another
FRITZ,Out of order; not working
SIGHT,The faculty or power of seeing
FLAIL,To wave or swing wildly
STALK,The main stem of a herbaceous plant
RATTY,In poor condition; shabby
REVUE,A light theatrical entertainment consisting of a series of short sketches
AWASH,Covered or flooded with water
OVARY,A female reproductive organ in which ova are produced
ACORN,The fruit of the oak tree
JOINT,A structure in the human or animal body at which two parts of the skeleton are fitted together
WROTE,Past tense of write
COMFY,Comfortable
MOULT,To shed old feathers, hair, or skin
TIGHT,Fixed, fastened, or closed firmly
SUING,Instituting legal proceedings against
FOCAL,Relating to the center or most important part
BELOW,At a lower level or layer
HANDY,Convenient to handle or use
COCOA,A powder made from roasted and ground cacao seeds
NEWLY,Recently
UPSET,To make someone unhappy, disappointed, or worried
GNOME,A legendary dwarfish creature
BAYOU,A marshy outlet of a lake or river
DIVER,A person who dives as a sport or for work
TACIT,Understood or implied without being stated
DRIFT,To be carried slowly by a current of air or water
EXILE,The state of being barred from one's native country
WOUND,An injury to living tissue
CHICK,A young bird
COUPE,A car with a fixed roof, two doors, and a sloping rear
STATE,The particular condition that someone or something is in
DETER,To discourage someone from doing something
BLIMP,A large nonrigid airship
TIARA,A jeweled ornamental band worn on the front of a woman's hair
SHIRE,A county in England
CATER,To provide food and drink at a social event
GHOST,An apparition of a dead person
BROAD,Having a large distance from side to side
